"station","weekday","name","arrival","departure"
2200001,1,"Київ-Пасажирський",36189.9423076923,20279.7884615385
2200001,2,"Київ-Пасажирський",28219.7115384615,19792.1730769231
2200001,3,"Київ-Пасажирський",24493.8301886792,20960.2264150943
2200001,4,"Київ-Пасажирський",24212.8653846154,24077
2200001,5,"Київ-Пасажирський",24604.5961538462,32160.1153846154
2200001,6,"Київ-Пасажирський",25649.2692307692,25545.1153846154
2200001,7,"Київ-Пасажирський",28335.5384615385,21533.4038461538
2200002,1,"Київ-Петрівка",63.5,41.5
2200002,2,"Київ-Петрівка",519.5,550
2200002,3,"Київ-Петрівка",524.5,530
2200002,4,"Київ-Петрівка",1338.66666666667,552
2200002,5,"Київ-Петрівка",277,1338.66666666667
2200002,6,"Київ-Петрівка",3,53
2200002,7,"Київ-Петрівка",30,30.5
2200003,1,"Київ-Волинський",50.7884615384615,31.0384615384615
2200003,2,"Київ-Волинський",28.9230769230769,36.4230769230769
2200003,3,"Київ-Волинський",24.4339622641509,33.2641509433962
2200003,4,"Київ-Волинський",25.1153846153846,42.377358490566
2200003,5,"Київ-Волинський",22.75,85.25
2200003,6,"Київ-Волинський",22.3846153846154,72.6153846153846
2200003,7,"Київ-Волинський",50.2115384615385,32.3076923076923
2200004,1,"Київ-Московський",21.9615384615385,10.5961538461538
2200004,2,"Київ-Московський",58.3461538461538,32.75
2200004,3,"Київ-Московський",14.5769230769231,35.1509433962264
2200004,4,"Київ-Московський",110.923076923077,93.8679245283019
2200004,5,"Київ-Московський",13.4615384615385,40
2200004,6,"Київ-Московський",13.9230769230769,24.5769230769231
2200004,7,"Київ-Московський",23.7692307692308,13.7115384615385
2200005,2,"Київ-Дніпровський",2008,2008
2200005,4,"Київ-Дніпровський",2008,2008
2200006,1,"Вишневе",103.980769230769,71.6346153846154
2200006,2,"Вишневе",56.1730769230769,66.6538461538462
2200006,3,"Вишневе",50.4150943396226,68.8867924528302
2200006,4,"Вишневе",42.5384615384615,79.5
2200006,5,"Вишневе",43.6346153846154,141.019230769231
2200006,6,"Вишневе",57.7692307692308,150.942307692308
2200006,7,"Вишневе",137.865384615385,86.4038461538462
2200007,1,"Дарниця",1162.19230769231,683.865384615385
2200007,2,"Дарниця",783.807692307692,678.75
2200007,3,"Дарниця",668.075471698113,685.905660377358
2200007,4,"Дарниця",637.692307692308,734.698113207547
2200007,5,"Дарниця",635.884615384615,1029.82692307692
2200007,6,"Дарниця",750.807692307692,1105.63461538462
2200007,7,"Дарниця",1149.38461538462,778.653846153846
2200008,1,"Святошин",142.529411764706,5.61111111111111
2200008,2,"Святошин",38.52,60
2200008,3,"Святошин",4.77272727272727,5.52941176470588
2200008,4,"Святошин",3.60416666666667,41.98
2200008,5,"Святошин",39.8076923076923,105.02
2200008,6,"Святошин",34,2.19047619047619
2200008,7,"Святошин",292.98,22.9166666666667
2200009,1,"Видубичі",544.442307692308,359.788461538462
2200009,2,"Видубичі",372.442307692308,372.115384615385
2200009,3,"Видубичі",317.566037735849,378.018867924528
2200009,4,"Видубичі",315.153846153846,418.961538461538
2200009,5,"Видубичі",306.153846153846,624.057692307692
2200009,6,"Видубичі",276.192307692308,463.615384615385
2200009,7,"Видубичі",441.903846153846,342.711538461538
2200010,1,"Хутір-Михайлівський",56.3076923076923,107.884615384615
2200010,2,"Хутір-Михайлівський",58.1923076923077,81.6923076923077
2200010,3,"Хутір-Михайлівський",59.7358490566038,67.4339622641509
2200010,4,"Хутір-Михайлівський",66.5769230769231,62.9245283018868
2200010,5,"Хутір-Михайлівський",76.5,63.9615384615385
2200010,6,"Хутір-Михайлівський",83.6153846153846,64.9423076923077
2200010,7,"Хутір-Михайлівський",65.5769230769231,61.9615384615385
2200011,1,"Янпіль",3.53488372093023,5.77551020408163
2200011,2,"Янпіль",3.65909090909091,4.30612244897959
2200011,3,"Янпіль",3.17777777777778,5.35555555555556
2200011,4,"Янпіль",4.4,4.56862745098039
2200011,5,"Янпіль",5.25490196078431,3.8
2200011,6,"Янпіль",3.8,4.3921568627451
2200011,7,"Янпіль",3.45,5.6
2200013,1,"Терещенська",133.5,193.673076923077
2200013,2,"Терещенська",146.269230769231,129.461538461538
2200013,3,"Терещенська",151.509433962264,99.6981132075472
2200013,4,"Терещенська",174.365384615385,103.211538461538
2200013,5,"Терещенська",263.519230769231,107.269230769231
2200013,6,"Терещенська",267.769230769231,102.576923076923
2200013,7,"Терещенська",143.461538461538,139.442307692308
2200016,1,"Шостка",416.230769230769,752.903846153846
2200016,2,"Шостка",377.480769230769,462.692307692308
2200016,3,"Шостка",384.622641509434,372.056603773585
2200016,4,"Шостка",403.711538461538,357.557692307692
2200016,5,"Шостка",706.442307692308,432
2200016,6,"Шостка",662.442307692308,413.25
2200016,7,"Шостка",487.192307692308,745.538461538462
2200017,1,"Мельня",1.83333333333333,0
2200017,2,"Мельня",1.88235294117647,0
2200017,3,"Мельня",1.7,0
2200017,4,"Мельня",2.42105263157895,0
2200017,5,"Мельня",4.01960784313725,0
2200017,6,"Мельня",2.15151515151515,0
2200017,7,"Мельня",2.20689655172414,0
2200020,1,"Кролевець",206.480769230769,398.980769230769
2200020,2,"Кролевець",187.403846153846,245.230769230769
2200020,3,"Кролевець",199.77358490566,197.943396226415
2200020,4,"Кролевець",227.096153846154,180.730769230769
2200020,5,"Кролевець",430.384615384615,195.807692307692
2200020,6,"Кролевець",345.75,198.442307692308
2200020,7,"Кролевець",217.615384615385,392.019230769231
2200023,1,"Кобижча",4.33333333333333,2.54545454545455
2200023,2,"Кобижча",2.5,2
2200023,3,"Кобижча",0,3.16666666666667
2200023,4,"Кобижча",0,1.90909090909091
2200023,5,"Кобижча",0,2.22222222222222
2200023,6,"Кобижча",1,1.5
2200023,7,"Кобижча",2,1.8
2200024,1,"Кошари",1,1.5
2200024,2,"Кошари",1,1
2200024,3,"Кошари",1,1
2200024,4,"Кошари",1,0
2200024,5,"Кошари",1.75,0
2200024,6,"Кошари",0,1.25
2200024,7,"Кошари",2.5,0
2200025,1,"Переяславська",5.1,4
2200025,2,"Переяславська",7.4,0
2200025,3,"Переяславська",5.42857142857143,0
2200025,4,"Переяславська",12,0
2200025,5,"Переяславська",10.1428571428571,0
2200025,6,"Переяславська",15.84,2.77777777777778
2200025,7,"Переяславська",6.25,3.30769230769231
2200026,1,"Степанівка",3.5,0
2200026,2,"Степанівка",1,0
2200026,7,"Степанівка",1,0
2200027,1,"Путійська",3.79166666666667,6.76923076923077
2200027,2,"Путійська",3.80851063829787,2.80487804878049
2200027,3,"Путійська",4.04166666666667,2.95454545454545
2200027,4,"Путійська",4.85416666666667,2.78571428571429
2200027,5,"Путійська",6.42,2.25
2200027,6,"Путійська",5.59183673469388,3.09090909090909
2200027,7,"Путійська",3.83333333333333,8.27450980392157
2200028,1,"Грузьке",1.62068965517241,2.88636363636364
2200028,2,"Грузьке",1.90909090909091,2.48484848484848
2200028,3,"Грузьке",2.64705882352941,2.64
2200028,4,"Грузьке",2.76923076923077,2
2200028,5,"Грузьке",3.27659574468085,2.35
2200028,6,"Грузьке",3.14705882352941,2.82051282051282
2200028,7,"Грузьке",2.75,7.12
2200029,1,"Халимонове",2.1,4.24489795918367
2200029,2,"Халимонове",2.29545454545455,3.53846153846154
2200029,3,"Халимонове",3,2.90697674418605
2200029,4,"Халимонове",2.69565217391304,3.17391304347826
2200029,5,"Халимонове",5.03921568627451,2.05555555555556
2200029,6,"Халимонове",2.65217391304348,1.94736842105263
2200029,7,"Халимонове",2.27027027027027,1.8974358974359
2200030,1,"Бахмач-Пасажирський",569.673076923077,679.807692307692
2200030,2,"Бахмач-Пасажирський",583.153846153846,495.692307692308
2200030,3,"Бахмач-Пасажирський",554.528301886792,439.603773584906
2200030,4,"Бахмач-Пасажирський",652.153846153846,450.576923076923
2200030,5,"Бахмач-Пасажирський",966.980769230769,450.519230769231
2200030,6,"Бахмач-Пасажирський",810.326923076923,473.807692307692
2200030,7,"Бахмач-Пасажирський",540.192307692308,770.711538461538
2200032,1,"Бахмач-Київський",61.6346153846154,157.846153846154
2200032,2,"Бахмач-Київський",66.3461538461538,126.538461538462
2200032,3,"Бахмач-Київський",67.7924528301887,110.77358490566
2200032,4,"Бахмач-Київський",72.4615384615385,113.384615384615
2200032,5,"Бахмач-Київський",101.115384615385,109.442307692308
2200032,6,"Бахмач-Київський",81.7692307692308,117.211538461538
2200032,7,"Бахмач-Київський",65.6538461538462,136.461538461538
2200033,1,"Голубичі",2.5,0
2200033,2,"Голубичі",2,0
2200033,3,"Голубичі",1,0
2200033,4,"Голубичі",2,0
2200033,5,"Голубичі",1.57142857142857,1
2200033,6,"Голубичі",1.2,0
2200033,7,"Голубичі",1.5,0
2200034,1,"Черемушки",1.26086956521739,2.52380952380952
2200034,2,"Черемушки",1.42857142857143,1.36842105263158
2200034,3,"Черемушки",2.05263157894737,1.57894736842105
2200034,4,"Черемушки",1.96875,1.25
2200034,5,"Черемушки",2.5,1.22222222222222
2200034,6,"Черемушки",1.85185185185185,1.41176470588235
2200034,7,"Черемушки",1.73076923076923,1.14285714285714
2200035,1,"Плиски",88.1346153846154,118.692307692308
2200035,2,"Плиски",98.9615384615385,88.6153846153846
2200035,3,"Плиски",99.7169811320755,77.811320754717
2200035,4,"Плиски",115.480769230769,79.7884615384615
2200035,5,"Плиски",198.75,76.5576923076923
2200035,6,"Плиски",151.230769230769,93.1346153846154
2200035,7,"Плиски",90.1923076923077,155.711538461538
2200036,1,"Крути",17.0576923076923,20.8653846153846
2200036,2,"Крути",17.9230769230769,12.75
2200036,3,"Крути",18.9622641509434,11.622641509434
2200036,4,"Крути",22.0384615384615,12.8039215686275
2200036,5,"Крути",34.5961538461538,12.3269230769231
2200036,6,"Крути",31.4807692307692,14.5961538461538
2200036,7,"Крути",18.0961538461538,25.3269230769231
2200038,1,"Горностаївка",11.3214285714286,5.46153846153846
2200038,2,"Горностаївка",11.15625,4.77777777777778
2200038,3,"Горностаївка",9.66666666666667,5.30769230769231
2200038,4,"Горностаївка",9.72972972972973,5.38461538461539
2200038,5,"Горностаївка",23.5384615384615,5.57142857142857
2200038,6,"Горностаївка",10.6346153846154,7.2
2200038,7,"Горностаївка",10.8461538461538,6.72549019607843
2200039,1,"Грибова Рудня",5.5,7
2200039,2,"Грибова Рудня",9.42857142857143,5.33333333333333
2200039,3,"Грибова Рудня",8.30769230769231,21
2200039,4,"Грибова Рудня",9.42857142857143,1.5
2200039,5,"Грибова Рудня",13.7307692307692,9.5
2200039,6,"Грибова Рудня",8.12,3.8
2200039,7,"Грибова Рудня",3.8125,5
2200040,1,"Конотоп",1023.90384615385,1503.05769230769
2200040,2,"Конотоп",1042.96153846154,1059.86538461538
2200040,3,"Конотоп",1047.30188679245,902.528301886792
2200040,4,"Конотоп",1135.13461538462,863.547169811321
2200040,5,"Конотоп",1703.82692307692,924.346153846154
2200040,6,"Конотоп",1550.98076923077,956.5
2200040,7,"Конотоп",1010.15384615385,1494.42307692308
2200043,1,"Муравійка",2,2
2200043,3,"Муравійка",2,1
2200043,7,"Муравійка",1.66666666666667,2.125
2200044,1,"Ім.Бориса Олійника",13.9423076923077,52.0192307692308
2200044,2,"Ім.Бориса Олійника",16.9807692307692,36.1923076923077
2200044,3,"Ім.Бориса Олійника",16.1132075471698,33.0754716981132
2200044,4,"Ім.Бориса Олійника",23.4807692307692,30.8846153846154
2200044,5,"Ім.Бориса Олійника",55.25,28.0576923076923
